age,taille,sexe,niveau_activite,poids
56,165,Femme,Actif,68.5
62,188,Homme,Actif,65.4
33,177,Homme,Actif,65.6
35,162,Homme,Actif,65.2
34,161,Homme,Modéré,54.7
69,143,Femme,Actif,47.8
69,188,Femme,Actif,76.3
69,198,Femme,Actif,89.3
54,148,Homme,Sédentaire,46.7
50,143,Homme,Actif,49.1
38,146,Femme,Sédentaire,37.0
24,162,Homme,Sédentaire,54.9
54,141,Femme,Sédentaire,45.5
10,188,Femme,Sédentaire,83.4
34,163,Femme,Modéré,70.4
16,179,Femme,Actif,66.7
18,194,Femme,Sédentaire,99.5
33,170,Homme,Actif,57.9
10,186,Homme,Sédentaire,89.9
53,170,Homme,Modéré,70.7
17,186,Femme,Sédentaire,66.6
33,179,Femme,Actif,73.4
20,187,Femme,Actif,76.4
60,190,Femme,Modéré,86.2
26,182,Homme,Actif,70.7
17,173,Homme,Actif,63.1
44,194,Femme,Sédentaire,98.3
44,163,Femme,Actif,57.7
42,188,Femme,Sédentaire,86.5
68,199,Homme,Modéré,84.4
14,165,Homme,Actif,73.5
51,155,Homme,Sédentaire,48.0
48,196,Femme,Actif,77.4
67,186,Femme,Sédentaire,91.9
50,152,Homme,Modéré,47.7
37,154,Femme,Sédentaire,63.6
16,166,Homme,Actif,68.0
18,143,Femme,Sédentaire,44.0
17,155,Homme,Actif,39.8
21,169,Femme,Modéré,62.7
43,183,Homme,Sédentaire,74.7
42,169,Homme,Actif,72.8
57,175,Homme,Actif,82.0
64,142,Homme,Actif,40.2
32,161,Homme,Sédentaire,63.3
33,188,Homme,Sédentaire,85.9
46,161,Femme,Sédentaire,65.4
44,189,Femme,Modéré,83.9
53,196,Femme,Actif,62.1
49,189,Homme,Actif,76.9
31,194,Homme,Modéré,69.8
36,199,Femme,Modéré,84.7
44,188,Homme,Sédentaire,88.1
10,151,Homme,Sédentaire,52.2
44,194,Homme,Sédentaire,95.8
46,160,Homme,Sédentaire,58.9
56,195,Homme,Sédentaire,68.8
23,143,Femme,Sédentaire,30.7
12,170,Femme,Modéré,64.9
10,183,Femme,Modéré,71.5
14,170,Femme,Modéré,55.1
35,197,Femme,Actif,65.6
64,162,Homme,Actif,52.0
23,193,Homme,Sédentaire,79.8
48,192,Homme,Modéré,88.5
36,159,Homme,Actif,57.0
18,154,Femme,Actif,63.6
24,162,Femme,Modéré,49.6
24,167,Femme,Actif,68.7
35,155,Homme,Actif,53.2
51,176,Femme,Modéré,74.6
69,160,Homme,Actif,53.0
22,154,Femme,Modéré,59.8
60,156,Femme,Actif,55.7
41,189,Homme,Modéré,71.3
48,176,Homme,Actif,68.0
58,152,Femme,Actif,49.2
61,158,Femme,Modéré,58.6
41,169,Homme,Actif,52.7
13,184,Femme,Modéré,74.2
39,157,Femme,Modéré,57.2
46,153,Homme,Actif,51.7
32,175,Femme,Sédentaire,79.8
48,175,Homme,Actif,74.5
54,159,Femme,Sédentaire,55.6
24,191,Homme,Sédentaire,82.6
52,158,Femme,Actif,57.1
38,184,Homme,Sédentaire,78.6
45,183,Femme,Modéré,55.3
22,146,Homme,Modéré,45.0
41,196,Femme,Sédentaire,67.4
16,183,Femme,Modéré,86.5
68,192,Femme,Actif,80.4
60,143,Femme,Modéré,43.8
31,198,Femme,Sédentaire,96.8
37,173,Femme,Actif,69.6
11,141,Femme,Modéré,37.0
51,144,Femme,Actif,45.2
54,194,Femme,Sédentaire,79.0
66,149,Homme,Modéré,37.2
62,171,Homme,Actif,58.3
15,181,Femme,Actif,70.3
37,180,Homme,Modéré,70.2
37,152,Femme,Actif,40.6
53,178,Femme,Actif,80.7
53,144,Homme,Sédentaire,45.0
29,197,Femme,Sédentaire,85.8
39,149,Femme,Sédentaire,51.5
20,149,Homme,Sédentaire,43.6
67,177,Homme,Sédentaire,73.2
64,166,Femme,Sédentaire,57.6
37,199,Homme,Modéré,76.5
34,190,Homme,Sédentaire,85.6
48,160,Femme,Actif,67.8
42,147,Homme,Modéré,52.2
10,140,Homme,Actif,48.5
66,167,Femme,Sédentaire,57.0
36,188,Homme,Sédentaire,60.8
66,178,Homme,Actif,83.9
61,153,Femme,Actif,65.9
22,160,Femme,Actif,68.2
50,169,Femme,Modéré,60.0
12,160,Homme,Sédentaire,47.5
48,188,Femme,Actif,66.5
15,148,Femme,Sédentaire,37.1
17,156,Homme,Actif,52.8
36,144,Femme,Sédentaire,55.6
18,197,Femme,Modéré,83.7
46,196,Femme,Sédentaire,88.0
42,170,Femme,Actif,75.5
60,191,Homme,Sédentaire,75.8
51,179,Femme,Modéré,90.1
53,177,Femme,Modéré,87.6
33,182,Homme,Sédentaire,71.6
24,158,Femme,Actif,50.6
68,175,Homme,Modéré,73.8
63,189,Homme,Modéré,74.9
41,172,Homme,Sédentaire,54.8
41,152,Femme,Modéré,59.7
33,153,Homme,Modéré,60.0
50,195,Homme,Actif,85.4
61,172,Homme,Actif,53.9
58,168,Femme,Actif,51.7
58,182,Femme,Sédentaire,73.9
67,188,Femme,Modéré,72.5
61,175,Femme,Sédentaire,64.2
21,197,Femme,Modéré,97.3
48,183,Femme,Modéré,81.0
11,149,Femme,Modéré,58.0
12,170,Homme,Actif,55.0
58,145,Homme,Sédentaire,44.1
46,196,Homme,Sédentaire,93.3
58,140,Homme,Modéré,45.8
65,146,Femme,Sédentaire,56.7
26,197,Homme,Actif,90.3
68,166,Homme,Sédentaire,75.9
58,160,Homme,Modéré,60.5
11,167,Homme,Actif,70.2
11,155,Femme,Actif,50.5
37,195,Femme,Modéré,83.8
63,185,Femme,Sédentaire,84.6
32,162,Homme,Modéré,70.4
46,191,Femme,Sédentaire,88.2
41,159,Homme,Sédentaire,55.0
42,177,Femme,Actif,81.9
10,193,Femme,Modéré,57.5
28,164,Femme,Actif,47.7
11,167,Femme,Modéré,67.1
62,144,Femme,Modéré,45.7
53,195,Homme,Actif,90.6
35,160,Femme,Modéré,56.8
41,157,Homme,Modéré,58.4
15,186,Homme,Sédentaire,67.7
41,145,Homme,Modéré,49.9
64,196,Homme,Modéré,96.0
13,168,Homme,Actif,72.4
64,158,Femme,Actif,70.0
20,172,Femme,Modéré,67.3
65,140,Femme,Sédentaire,44.7
68,184,Femme,Sédentaire,59.0
26,142,Homme,Actif,41.1
47,181,Femme,Modéré,70.2
33,160,Femme,Modéré,64.4
14,174,Homme,Sédentaire,61.1
61,180,Homme,Sédentaire,79.0
43,179,Femme,Sédentaire,70.5
15,142,Femme,Actif,43.3
31,164,Homme,Modéré,61.2
20,184,Femme,Actif,70.5
57,177,Femme,Modéré,64.9
25,184,Femme,Actif,57.2
42,194,Femme,Modéré,80.0
18,159,Homme,Sédentaire,52.0
69,191,Homme,Sédentaire,74.6
68,183,Homme,Sédentaire,77.9
15,184,Femme,Actif,81.2
25,173,Femme,Sédentaire,67.9
38,160,Femme,Modéré,64.0
12,195,Femme,Actif,90.2
29,194,Femme,Modéré,79.5
69,187,Homme,Actif,72.1
68,162,Femme,Modéré,60.2
45,145,Femme,Modéré,49.9
28,190,Homme,Actif,94.6
35,192,Femme,Actif,94.3
12,152,Homme,Sédentaire,47.1
28,188,Homme,Sédentaire,76.7
29,162,Homme,Modéré,63.0
41,148,Homme,Modéré,55.2
16,156,Homme,Modéré,60.4
61,141,Femme,Actif,43.4
50,158,Homme,Actif,45.5
42,158,Homme,Sédentaire,47.4
49,195,Femme,Modéré,86.8
48,146,Femme,Sédentaire,49.1
27,193,Homme,Actif,69.7
49,181,Femme,Actif,72.5
10,181,Femme,Actif,78.3
20,198,Homme,Sédentaire,72.7
37,159,Homme,Actif,64.0
66,148,Femme,Modéré,45.7
34,156,Homme,Sédentaire,62.7
59,166,Homme,Actif,56.2
32,186,Femme,Sédentaire,65.5
40,141,Homme,Sédentaire,41.0
39,175,Homme,Actif,66.5
51,158,Homme,Actif,52.0
44,156,Homme,Sédentaire,52.0
16,144,Homme,Sédentaire,47.7
69,178,Femme,Actif,68.1
25,157,Femme,Modéré,53.7
35,192,Homme,Sédentaire,62.2
57,193,Femme,Sédentaire,86.3
66,198,Homme,Modéré,85.2
61,146,Homme,Actif,57.2
69,156,Homme,Actif,46.7
58,178,Homme,Modéré,52.5
11,175,Homme,Actif,73.1
10,179,Femme,Actif,73.8
57,184,Femme,Sédentaire,64.2
21,143,Homme,Sédentaire,35.6
14,177,Femme,Sédentaire,83.4
46,164,Homme,Modéré,70.6
41,144,Femme,Actif,31.1
68,169,Homme,Actif,58.9
64,151,Femme,Sédentaire,61.5
18,143,Homme,Sédentaire,42.1
50,163,Homme,Modéré,54.5
44,168,Femme,Actif,59.7
28,148,Femme,Modéré,40.8
57,143,Homme,Actif,34.5
25,190,Femme,Modéré,90.8
12,163,Homme,Sédentaire,43.8
29,153,Femme,Modéré,53.2
33,144,Femme,Modéré,51.1
63,157,Homme,Sédentaire,43.5
65,181,Femme,Actif,63.0
42,196,Femme,Actif,98.5
33,158,Homme,Sédentaire,58.9
61,151,Femme,Modéré,45.9
20,157,Homme,Modéré,63.1
58,156,Homme,Modéré,62.3
17,169,Homme,Actif,65.1
45,163,Homme,Modéré,51.3
47,150,Homme,Actif,46.7
49,174,Femme,Modéré,69.2
29,162,Homme,Sédentaire,56.3
44,156,Homme,Sédentaire,60.4
57,140,Femme,Actif,34.1
34,154,Femme,Actif,41.5
44,171,Femme,Sédentaire,65.9
34,199,Homme,Sédentaire,81.3
38,148,Homme,Modéré,44.1
27,154,Homme,Sédentaire,39.6
55,167,Femme,Actif,61.5
27,163,Homme,Sédentaire,58.0
11,199,Femme,Actif,94.9
63,174,Homme,Actif,67.2
44,161,Femme,Modéré,56.0
25,166,Homme,Modéré,70.4
50,158,Homme,Modéré,45.1
45,184,Homme,Modéré,79.9
42,151,Femme,Sédentaire,38.7
13,159,Femme,Modéré,49.3
42,140,Homme,Sédentaire,36.0
23,160,Homme,Modéré,62.3
30,188,Homme,Modéré,77.1
57,184,Femme,Actif,74.3
29,140,Homme,Sédentaire,36.6
65,149,Homme,Actif,46.8
17,186,Homme,Modéré,68.2
16,198,Homme,Sédentaire,90.8
12,198,Femme,Modéré,74.6
26,171,Femme,Actif,76.0
42,178,Homme,Sédentaire,53.8
57,199,Homme,Actif,77.5
21,161,Femme,Modéré,70.1
68,157,Femme,Modéré,51.0
60,187,Homme,Modéré,63.1
31,185,Femme,Sédentaire,77.5
64,171,Femme,Actif,60.2
31,166,Homme,Actif,53.7
55,167,Femme,Modéré,52.2
39,157,Femme,Actif,74.7
47,198,Homme,Sédentaire,83.3
47,178,Homme,Modéré,51.4
54,188,Femme,Modéré,93.6
60,168,Homme,Modéré,67.3
63,157,Femme,Sédentaire,48.6
17,183,Homme,Modéré,64.3
36,147,Femme,Modéré,51.9
36,193,Homme,Modéré,79.2
43,170,Femme,Modéré,46.9
30,173,Femme,Actif,81.9
39,146,Femme,Modéré,44.1
42,175,Homme,Sédentaire,81.1
37,157,Homme,Modéré,63.7
56,199,Femme,Modéré,75.2
42,177,Femme,Actif,78.6
14,198,Homme,Modéré,78.6
69,148,Homme,Actif,35.9
57,198,Homme,Sédentaire,81.3
28,148,Homme,Actif,50.8
13,185,Homme,Modéré,70.5
44,147,Homme,Sédentaire,45.5
58,190,Femme,Modéré,91.8
26,174,Homme,Actif,67.6
53,157,Femme,Sédentaire,48.0
37,144,Homme,Sédentaire,50.0
39,153,Homme,Actif,52.9
38,167,Femme,Actif,41.8
55,169,Femme,Sédentaire,66.5
62,143,Homme,Sédentaire,47.4
15,178,Femme,Actif,69.9
44,159,Femme,Modéré,62.4
69,164,Femme,Sédentaire,53.7
50,167,Femme,Actif,64.2
46,151,Homme,Modéré,39.4
33,141,Femme,Sédentaire,46.2
38,182,Homme,Sédentaire,92.3
58,153,Homme,Actif,44.5
55,161,Homme,Modéré,51.1
62,170,Homme,Sédentaire,57.4
40,162,Femme,Modéré,58.8
44,187,Femme,Modéré,65.8
69,159,Homme,Sédentaire,58.8
42,177,Homme,Modéré,76.9
61,194,Homme,Sédentaire,88.8
30,143,Homme,Modéré,34.1
41,154,Femme,Sédentaire,59.3
32,163,Homme,Actif,65.9
42,164,Femme,Sédentaire,65.9
12,140,Homme,Sédentaire,45.3
27,146,Homme,Sédentaire,48.3
34,196,Homme,Modéré,96.4
51,170,Homme,Actif,80.3
40,151,Femme,Modéré,43.6
63,181,Femme,Modéré,82.7
67,144,Femme,Sédentaire,45.1
12,183,Homme,Modéré,72.4
49,189,Homme,Sédentaire,62.1
55,181,Femme,Actif,69.3
33,177,Femme,Modéré,59.6
59,199,Homme,Modéré,81.6
41,151,Homme,Modéré,42.7
56,178,Femme,Sédentaire,65.4
31,157,Homme,Sédentaire,51.2
32,141,Homme,Modéré,44.3
11,149,Femme,Modéré,38.1
36,154,Homme,Actif,41.9
51,169,Femme,Actif,65.9
11,183,Homme,Actif,65.7
35,197,Femme,Actif,97.9
26,156,Homme,Actif,55.2
49,143,Femme,Sédentaire,48.7
42,146,Femme,Actif,55.9
18,180,Femme,Actif,68.3
52,170,Femme,Modéré,58.6
63,190,Homme,Sédentaire,88.9
57,199,Homme,Actif,93.2
48,198,Femme,Actif,84.0
38,194,Homme,Actif,98.5
51,178,Homme,Modéré,67.7
64,194,Homme,Modéré,83.2
35,173,Homme,Modéré,66.0
44,145,Homme,Actif,40.4
59,189,Femme,Modéré,79.4
34,177,Femme,Actif,82.1
33,184,Femme,Sédentaire,79.0
22,197,Femme,Actif,85.7
69,190,Homme,Modéré,77.7
67,173,Homme,Sédentaire,68.8
16,183,Femme,Actif,81.2
66,154,Homme,Sédentaire,56.5
45,153,Homme,Sédentaire,49.2
54,145,Femme,Sédentaire,48.3
29,189,Homme,Actif,83.7
10,176,Femme,Modéré,58.8
17,189,Femme,Actif,80.4
55,171,Homme,Modéré,45.4
25,142,Homme,Actif,47.3
23,142,Femme,Actif,48.4
21,161,Femme,Actif,62.8
60,161,Homme,Modéré,54.0
32,149,Femme,Actif,50.9
24,190,Femme,Sédentaire,94.8
37,142,Femme,Actif,52.9
43,151,Homme,Sédentaire,50.0
11,168,Femme,Modéré,63.3
41,187,Homme,Modéré,88.6
32,156,Femme,Actif,42.6
31,146,Homme,Actif,44.8
60,152,Femme,Actif,60.1
34,195,Homme,Sédentaire,94.8
67,141,Homme,Modéré,45.9
31,143,Homme,Sédentaire,35.7
67,149,Femme,Sédentaire,48.5
67,178,Femme,Actif,64.1
31,163,Femme,Actif,61.1
58,156,Homme,Sédentaire,47.6
61,191,Femme,Sédentaire,69.0
51,145,Homme,Actif,33.2
15,158,Femme,Actif,64.1
24,144,Homme,Sédentaire,43.1
63,171,Homme,Actif,65.7
52,149,Homme,Actif,48.8
69,148,Femme,Sédentaire,41.2
46,166,Femme,Sédentaire,50.2
42,152,Femme,Modéré,43.9
17,158,Homme,Sédentaire,49.5
62,160,Homme,Actif,59.1
69,163,Femme,Sédentaire,52.1
53,177,Femme,Sédentaire,85.3
53,143,Femme,Sédentaire,51.3
14,163,Homme,Modéré,64.9
48,198,Homme,Modéré,84.8
13,174,Homme,Actif,80.4
15,142,Homme,Modéré,43.0
54,143,Homme,Sédentaire,44.8
41,196,Femme,Modéré,86.5
61,176,Homme,Sédentaire,74.7
39,179,Homme,Modéré,76.6
56,187,Homme,Modéré,71.9
44,193,Homme,Modéré,76.0
64,174,Homme,Sédentaire,72.4
49,170,Femme,Modéré,69.8
61,195,Homme,Sédentaire,79.2
25,183,Homme,Sédentaire,57.7
22,164,Homme,Actif,57.5
59,179,Femme,Modéré,76.5
69,152,Femme,Actif,63.3
51,143,Femme,Actif,37.6
39,185,Homme,Sédentaire,70.9
28,153,Femme,Modéré,48.8
26,152,Homme,Sédentaire,60.2
65,166,Homme,Sédentaire,60.3
28,145,Femme,Modéré,40.5
37,156,Homme,Sédentaire,57.6
67,175,Homme,Modéré,63.7
64,179,Homme,Modéré,58.7
35,188,Femme,Sédentaire,68.3
46,174,Homme,Sédentaire,82.4
35,156,Homme,Actif,56.3
62,180,Femme,Sédentaire,72.3
32,141,Homme,Modéré,42.2
18,196,Homme,Actif,87.9
21,152,Femme,Modéré,52.8
62,191,Homme,Actif,83.5
10,141,Homme,Sédentaire,44.4
67,191,Homme,Sédentaire,89.8
67,167,Homme,Sédentaire,61.5
10,182,Homme,Modéré,63.2
56,198,Femme,Actif,79.0
43,165,Femme,Modéré,43.7
41,161,Femme,Actif,72.8
63,186,Femme,Sédentaire,85.1
57,182,Homme,Modéré,64.6
34,194,Homme,Sédentaire,79.6
49,142,Homme,Modéré,40.5
54,174,Homme,Sédentaire,80.6
62,199,Homme,Modéré,70.3
10,197,Femme,Modéré,86.7
25,151,Femme,Actif,49.4
48,163,Homme,Sédentaire,65.0
14,144,Homme,Actif,45.0
31,159,Homme,Actif,42.3
38,178,Femme,Sédentaire,67.3
64,178,Homme,Modéré,60.5
12,152,Homme,Actif,51.4
21,180,Homme,Sédentaire,85.2
35,196,Femme,Modéré,64.5
25,192,Homme,Actif,72.3
60,184,Femme,Actif,68.9
46,151,Femme,Actif,47.6
31,152,Femme,Modéré,56.0
66,195,Femme,Actif,81.7
38,149,Femme,Modéré,51.6
23,172,Femme,Actif,59.5
37,196,Homme,Sédentaire,87.2
14,179,Homme,Actif,78.0
56,193,Homme,Sédentaire,73.8
58,155,Femme,Sédentaire,58.5
39,184,Homme,Sédentaire,75.0
55,174,Femme,Modéré,76.1
61,142,Femme,Sédentaire,43.1
14,195,Femme,Actif,88.0
21,144,Homme,Modéré,45.4
25,165,Femme,Sédentaire,59.1
35,150,Femme,Modéré,51.2
35,146,Homme,Modéré,50.3
57,192,Homme,Modéré,67.3
30,195,Femme,Actif,100.0
48,149,Femme,Sédentaire,36.5
45,181,Homme,Modéré,65.3
42,191,Homme,Modéré,79.2
39,173,Homme,Modéré,69.5
46,142,Femme,Sédentaire,53.9
32,147,Homme,Modéré,35.5
67,170,Homme,Modéré,59.2
19,150,Homme,Actif,35.1
63,184,Femme,Sédentaire,74.8
14,146,Homme,Actif,48.6
45,184,Homme,Sédentaire,90.6
43,141,Homme,Sédentaire,44.5
61,145,Homme,Sédentaire,52.8
40,180,Homme,Actif,77.0
19,171,Femme,Actif,60.5
67,159,Femme,Actif,44.9
28,196,Femme,Actif,87.7
67,173,Homme,Modéré,52.4
41,189,Femme,Modéré,92.5
10,155,Femme,Modéré,51.7
65,164,Femme,Sédentaire,68.8
14,151,Homme,Modéré,46.9
54,146,Homme,Sédentaire,48.6
13,178,Femme,Actif,71.7
25,156,Femme,Sédentaire,53.2
33,184,Homme,Sédentaire,70.1
25,150,Homme,Modéré,52.1
64,145,Femme,Actif,40.4
11,162,Homme,Actif,48.2
58,166,Femme,Modéré,70.9
37,185,Homme,Actif,82.8
41,145,Femme,Actif,46.7
36,177,Femme,Actif,84.6
29,141,Homme,Modéré,42.1
33,161,Femme,Actif,67.3
21,159,Femme,Sédentaire,56.9
59,164,Femme,Sédentaire,50.9
44,154,Homme,Actif,65.3
69,199,Homme,Modéré,98.9
42,188,Homme,Modéré,76.5
42,168,Femme,Modéré,68.2
60,147,Homme,Actif,44.9
52,176,Femme,Actif,75.9
46,188,Femme,Sédentaire,53.0
21,191,Homme,Modéré,69.1
12,172,Homme,Sédentaire,73.8
10,161,Femme,Sédentaire,55.1
42,189,Femme,Modéré,80.8
49,186,Homme,Actif,62.1
19,144,Homme,Actif,57.1
52,178,Homme,Sédentaire,81.0
53,157,Femme,Sédentaire,52.7
38,177,Femme,Sédentaire,65.1
22,193,Femme,Sédentaire,93.5
21,192,Femme,Modéré,103.0
40,176,Femme,Sédentaire,77.0
55,169,Homme,Sédentaire,81.4
11,190,Homme,Actif,69.4
60,170,Femme,Actif,56.5
59,149,Femme,Actif,40.9
44,154,Homme,Modéré,55.3
32,181,Homme,Modéré,73.8
26,198,Homme,Actif,84.5
35,187,Homme,Actif,85.4
17,183,Femme,Sédentaire,86.1
38,157,Homme,Sédentaire,42.9
35,162,Femme,Modéré,53.0
19,172,Homme,Modéré,72.4
35,155,Homme,Sédentaire,49.5
43,193,Homme,Actif,73.0
60,177,Femme,Sédentaire,78.5
50,174,Femme,Modéré,54.9
16,173,Homme,Modéré,63.1
13,167,Femme,Sédentaire,64.1
67,141,Femme,Sédentaire,40.3
62,169,Homme,Sédentaire,69.5
59,152,Homme,Modéré,46.9
54,180,Femme,Actif,85.0
20,155,Femme,Sédentaire,51.9
38,198,Femme,Modéré,94.1
65,144,Homme,Modéré,50.3
45,194,Homme,Modéré,75.7
34,167,Femme,Sédentaire,44.2
30,192,Homme,Sédentaire,85.1
66,178,Homme,Actif,70.4
45,184,Femme,Modéré,80.1
19,159,Femme,Sédentaire,53.9
46,163,Homme,Modéré,55.0
18,166,Homme,Modéré,77.2
33,169,Femme,Actif,50.2
44,197,Homme,Sédentaire,93.9
58,184,Homme,Sédentaire,68.6
44,166,Femme,Modéré,57.8
57,165,Femme,Modéré,57.3
45,146,Homme,Actif,41.8
27,181,Homme,Actif,77.7
58,186,Homme,Actif,90.5
48,192,Femme,Actif,86.3
41,198,Homme,Actif,87.5
33,177,Homme,Actif,59.7
32,144,Femme,Modéré,48.8
41,162,Femme,Actif,74.7
46,167,Homme,Modéré,58.2
21,173,Femme,Modéré,62.5
58,192,Femme,Sédentaire,74.9
64,154,Homme,Modéré,48.7
22,171,Femme,Modéré,43.9
32,165,Femme,Actif,63.2
34,187,Homme,Modéré,68.1
44,170,Femme,Actif,49.6
50,158,Homme,Actif,60.6
39,148,Homme,Actif,41.1
26,168,Femme,Sédentaire,59.2
58,193,Femme,Actif,98.3
29,197,Femme,Modéré,69.0
57,190,Homme,Actif,62.8
34,178,Femme,Actif,72.3
31,143,Homme,Actif,52.0
22,142,Femme,Sédentaire,34.8
68,195,Femme,Modéré,88.3
28,168,Femme,Sédentaire,67.0
58,191,Homme,Modéré,57.7
45,150,Femme,Sédentaire,54.9
21,172,Femme,Modéré,72.9
50,177,Homme,Sédentaire,66.0
28,197,Homme,Actif,100.0
21,150,Femme,Sédentaire,57.2
18,166,Femme,Sédentaire,61.5
16,172,Femme,Actif,61.1
37,160,Homme,Actif,48.8
23,178,Homme,Modéré,69.3
40,170,Homme,Modéré,68.5
61,177,Homme,Modéré,65.9
28,185,Femme,Sédentaire,52.7
67,141,Homme,Modéré,51.3
56,166,Homme,Sédentaire,62.2
25,175,Homme,Sédentaire,63.9
62,150,Femme,Modéré,55.3
14,186,Femme,Modéré,91.9
44,157,Homme,Sédentaire,37.0
21,198,Homme,Actif,91.4
34,140,Femme,Actif,34.7
61,174,Femme,Sédentaire,71.1
68,174,Femme,Modéré,67.8
30,170,Femme,Sédentaire,69.1
45,167,Femme,Sédentaire,57.2
62,178,Femme,Modéré,51.9
32,140,Femme,Actif,40.5
25,164,Femme,Sédentaire,62.5
66,182,Homme,Actif,83.0
48,177,Homme,Actif,57.9
54,159,Homme,Modéré,63.4
62,142,Homme,Sédentaire,40.4
51,190,Homme,Sédentaire,83.3
67,141,Homme,Actif,40.7
48,157,Femme,Actif,55.6
23,183,Femme,Modéré,82.6
40,149,Homme,Actif,40.7
67,144,Homme,Modéré,41.4
14,148,Femme,Sédentaire,49.4
44,141,Femme,Modéré,58.1
32,173,Femme,Actif,58.1
38,199,Homme,Sédentaire,111.4
52,177,Femme,Modéré,87.8
20,170,Homme,Sédentaire,62.7
27,149,Homme,Modéré,46.9
56,189,Femme,Actif,71.2
21,151,Femme,Actif,49.7
18,175,Homme,Sédentaire,54.5
19,193,Femme,Sédentaire,81.1
67,160,Femme,Sédentaire,67.8
53,188,Homme,Modéré,71.3
26,186,Femme,Actif,73.6
47,145,Homme,Sédentaire,35.5
16,187,Homme,Sédentaire,80.9
55,188,Femme,Sédentaire,80.6
22,142,Homme,Modéré,44.7
49,149,Homme,Sédentaire,47.4
51,144,Femme,Sédentaire,43.8
18,185,Femme,Modéré,80.4
59,165,Femme,Modéré,59.7
36,160,Homme,Sédentaire,58.7
67,184,Homme,Sédentaire,76.7
11,165,Femme,Modéré,69.1
